"GALAXY","STAR","prob_gal"
472,28,0.944
0,500,0
500,0,1
15,485,0.03
0,500,0
12,488,0.024
4,496,0.008
471,29,0.942
0,500,0
500,0,1
500,0,1
18,482,0.036
5,495,0.01
500,0,1
38,462,0.076
4,496,0.008
0,500,0
301,199,0.602
25,475,0.05
498,2,0.996
500,0,1
5,495,0.01
376,124,0.752
7,493,0.014
500,0,1
468,32,0.936
500,0,1
8,492,0.016
478,22,0.956
500,0,1
7,493,0.014
434,66,0.868
500,0,1
498,2,0.996
498,2,0.996
500,0,1
495,5,0.99
500,0,1
8,492,0.016
486,14,0.972
3,497,0.006
8,492,0.016
493,7,0.986
132,368,0.264
48,452,0.096
500,0,1
425,75,0.85
500,0,1
485,15,0.97
500,0,1
456,44,0.912
1,499,0.002
500,0,1
498,2,0.996
0,500,0
500,0,1
5,495,0.01
4,496,0.008
490,10,0.98
493,7,0.986
498,2,0.996
458,42,0.916
499,1,0.998
500,0,1
0,500,0
8,492,0.016
19,481,0.038
491,9,0.982
6,494,0.012
498,2,0.996
500,0,1
105,395,0.21
15,485,0.03
0,500,0
494,6,0.988
0,500,0
498,2,0.996
142,358,0.284
500,0,1
0,500,0
2,498,0.004
500,0,1
12,488,0.024
0,500,0
0,500,0
500,0,1
4,496,0.008
0,500,0
500,0,1
12,488,0.024
3,497,0.006
455,45,0.91
456,44,0.912
500,0,1
27,473,0.054
500,0,1
18,482,0.036
500,0,1
500,0,1
498,2,0.996
500,0,1
483,17,0.966
500,0,1
0,500,0
6,494,0.012
500,0,1
0,500,0
4,496,0.008
500,0,1
0,500,0
45,455,0.09
495,5,0.99
15,485,0.03
17,483,0.034
8,492,0.016
500,0,1
8,492,0.016
499,1,0.998
500,0,1
500,0,1
0,500,0
498,2,0.996
0,500,0
500,0,1
500,0,1
500,0,1
5,495,0.01
482,18,0.964
500,0,1
0,500,0
4,496,0.008
1,499,0.002
3,497,0.006
3,497,0.006
14,486,0.028
0,500,0
492,8,0.984
486,14,0.972
493,7,0.986
0,500,0
500,0,1
0,500,0
500,0,1
2,498,0.004
0,500,0
0,500,0
0,500,0
8,492,0.016
7,493,0.014
90,410,0.18
326,174,0.652
262,238,0.524
82,418,0.164
236,264,0.472
170,330,0.34
329,171,0.658
38,462,0.076
150,350,0.3
103,397,0.206
268,232,0.536
28,472,0.056
115,385,0.23
153,347,0.306
500,0,1
500,0,1
0,500,0
0,500,0
0,500,0
500,0,1
5,495,0.01
498,2,0.996
500,0,1
500,0,1
403,97,0.806
11,489,0.022
299,201,0.598
18,482,0.036
3,497,0.006
499,1,0.998
2,498,0.004
500,0,1
203,297,0.406
24,476,0.048
500,0,1
328,172,0.656
0,500,0
492,8,0.984
500,0,1
1,499,0.002
500,0,1
0,500,0
17,483,0.034
0,500,0
37,463,0.074
500,0,1
14,486,0.028
22,478,0.044
22,478,0.044
22,478,0.044
460,40,0.92
500,0,1
296,204,0.592
2,498,0.004
2,498,0.004
0,500,0
500,0,1
12,488,0.024
0,500,0
495,5,0.99
495,5,0.99
2,498,0.004
0,500,0
51,449,0.102
0,500,0
2,498,0.004
3,497,0.006
0,500,0
0,500,0
388,112,0.776
10,490,0.02
169,331,0.338
155,345,0.31
87,413,0.174
199,301,0.398
285,215,0.57
241,259,0.482
34,466,0.068
87,413,0.174
185,315,0.37
110,390,0.22
225,275,0.45
500,0,1
37,463,0.074
31,469,0.062
175,325,0.35
83,417,0.166
498,2,0.996
497,3,0.994
499,1,0.998
12,488,0.024
32,468,0.064
2,498,0.004
239,261,0.478
3,497,0.006
0,500,0
388,112,0.776
451,49,0.902
409,91,0.818
331,169,0.662
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
7,493,0.014
45,455,0.09
0,500,0
500,0,1
18,482,0.036
18,482,0.036
334,166,0.668
54,446,0.108
54,446,0.108
11,489,0.022
500,0,1
485,15,0.97
0,500,0
451,49,0.902
6,494,0.012
495,5,0.99
499,1,0.998
500,0,1
500,0,1
500,0,1
0,500,0
440,60,0.88
500,0,1
0,500,0
499,1,0.998
500,0,1
500,0,1
34,466,0.068
11,489,0.022
500,0,1
500,0,1
35,465,0.07
35,465,0.07
35,465,0.07
488,12,0.976
485,15,0.97
499,1,0.998
500,0,1
500,0,1
500,0,1
3,497,0.006
500,0,1
500,0,1
500,0,1
6,494,0.012
6,494,0.012
500,0,1
480,20,0.96
19,481,0.038
1,499,0.002
500,0,1
500,0,1
100,400,0.2
0,500,0
0,500,0
490,10,0.98
5,495,0.01
0,500,0
0,500,0
0,500,0
6,494,0.012
0,500,0
500,0,1
0,500,0
500,0,1
20,480,0.04
494,6,0.988
0,500,0
478,22,0.956
9,491,0.018
500,0,1
500,0,1
389,111,0.778
500,0,1
498,2,0.996
500,0,1
0,500,0
497,3,0.994
492,8,0.984
475,25,0.95
466,34,0.932
415,85,0.83
498,2,0.996
63,437,0.126
9,491,0.018
500,0,1
500,0,1
499,1,0.998
500,0,1
500,0,1
500,0,1
500,0,1
5,495,0.01
500,0,1
500,0,1
76,424,0.152
65,435,0.13
280,220,0.56
8,492,0.016
499,1,0.998
498,2,0.996
6,494,0.012
460,40,0.92
498,2,0.996
0,500,0
8,492,0.016
0,500,0
90,410,0.18
2,498,0.004
2,498,0.004
7,493,0.014
12,488,0.024
499,1,0.998
500,0,1
13,487,0.026
500,0,1
14,486,0.028
9,491,0.018
47,453,0.094
482,18,0.964
453,47,0.906
500,0,1
55,445,0.11
2,498,0.004
499,1,0.998
494,6,0.988
500,0,1
0,500,0
13,487,0.026
29,471,0.058
0,500,0
499,1,0.998
500,0,1
500,0,1
29,471,0.058
7,493,0.014
7,493,0.014
7,493,0.014
39,461,0.078
470,30,0.94
500,0,1
1,499,0.002
471,29,0.942
500,0,1
500,0,1
8,492,0.016
500,0,1
0,500,0
3,497,0.006
500,0,1
456,44,0.912
9,491,0.018
8,492,0.016
0,500,0
500,0,1
500,0,1
500,0,1
489,11,0.978
5,495,0.01
473,27,0.946
145,355,0.29
500,0,1
0,500,0
14,486,0.028
490,10,0.98
496,4,0.992
21,479,0.042
21,479,0.042
497,3,0.994
7,493,0.014
63,437,0.126
500,0,1
63,437,0.126
500,0,1
499,1,0.998
0,500,0
29,471,0.058
1,499,0.002
497,3,0.994
0,500,0
19,481,0.038
2,498,0.004
172,328,0.344
0,500,0
500,0,1
12,488,0.024
500,0,1
462,38,0.924
500,0,1
500,0,1
497,3,0.994
4,496,0.008
63,437,0.126
500,0,1
3,497,0.006
500,0,1
500,0,1
500,0,1
425,75,0.85
4,496,0.008
5,495,0.01
497,3,0.994
494,6,0.988
492,8,0.984
500,0,1
13,487,0.026
495,5,0.99
1,499,0.002
500,0,1
358,142,0.716
2,498,0.004
1,499,0.002
500,0,1
498,2,0.996
500,0,1
0,500,0
6,494,0.012
500,0,1
1,499,0.002
114,386,0.228
500,0,1
500,0,1
0,500,0
489,11,0.978
276,224,0.552
471,29,0.942
500,0,1
445,55,0.89
5,495,0.01
5,495,0.01
3,497,0.006
0,500,0
485,15,0.97
500,0,1
0,500,0
2,498,0.004
496,4,0.992
489,11,0.978
500,0,1
500,0,1
17,483,0.034
0,500,0
500,0,1
500,0,1
14,486,0.028
490,10,0.98
490,10,0.98
499,1,0.998
500,0,1
53,447,0.106
1,499,0.002
73,427,0.146
485,15,0.97
1,499,0.002
5,495,0.01
363,137,0.726
7,493,0.014
500,0,1
488,12,0.976
9,491,0.018
500,0,1
18,482,0.036
12,488,0.024
97,403,0.194
497,3,0.994
16,484,0.032
15,485,0.03
85,415,0.17
12,488,0.024
54,446,0.108
500,0,1
0,500,0
498,2,0.996
408,92,0.816
358,142,0.716
483,17,0.966
8,492,0.016
500,0,1
3,497,0.006
3,497,0.006
500,0,1
247,253,0.494
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
499,1,0.998
9,491,0.018
497,3,0.994
498,2,0.996
500,0,1
500,0,1
500,0,1
339,161,0.678
0,500,0
57,443,0.114
500,0,1
425,75,0.85
20,480,0.04
19,481,0.038
411,89,0.822
8,492,0.016
498,2,0.996
463,37,0.926
4,496,0.008
23,477,0.046
165,335,0.33
500,0,1
10,490,0.02
500,0,1
500,0,1
7,493,0.014
498,2,0.996
5,495,0.01
497,3,0.994
0,500,0
500,0,1
482,18,0.964
9,491,0.018
482,18,0.964
24,476,0.048
77,423,0.154
17,483,0.034
0,500,0
4,496,0.008
